title,subtitle,authors,link,code_link,date,purpose,principles_tested,functional_props,input_modality,output_modality,input_source,output_source,size,splits,design,judge,protocol,model_access,has_heldout,heldout_details,alignment_validation,is_valid,baseline_models,robustness_measures,known_limitations,benchmarks_list
GQA (Visual Reasoning),"A visual reasoning dataset with 22M questions on 113K images, featuring compositional questions requiring multi-step reasoning over scene graphs.",Stanford University,https://arxiv.org/abs/1902.09506,https://github.com/stanfordnlp/gqa-dataset,2019-02-01,Research; Development,"Visual reasoning, Compositional question answering, Scene understanding, Spatial reasoning",Core Performance; Robustness,Text + Vision,Text,MS COCO,Programmatically generated,Huge (> 10M samples),"Train (943K), Val (132K), Test (12.6M)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives image and compositional question, generates answer, accuracy computed with focus on reasoning consistency and grounding",Outputs,True,"Test set available but unannotated, challenge submission for evaluation","Programmatically generated from scene graphs with human validation, consistency checks for reasoning chains",unknown,"Bottom-Up: 49.7%, LXMERT: 60.0%, OSCAR: 61.6%, BLIP-2: 65.0%, Human performance: 89.3%",Compositional consistency; Grounding verification; Multiple question types; Validity and plausibility checks,Programmatic generation may have artifacts; Limited to COCO images; Some questions require implicit reasoning; Scene graph annotation noise,"VQA, CLEVR, Visual Genome, NLVR2"
COCO Keypoints,"Human pose estimation benchmark with keypoint annotations for 250K people across 200K images, part of the COCO dataset focusing on articulated pose detection.",Microsoft Research,https://arxiv.org/abs/1405.0312,https://github.com/cocodataset/cocoapi,2016-05-01,Research; Development,"Human pose estimation, Keypoint detection, Multi-person pose, Articulated object detection",Core Performance,Vision (Image),Structured Data,MS COCO,Human annotations,Large (100K - 1M samples),"Train, Val, Test",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives image, predicts 17 keypoints per person, Object Keypoint Similarity (OKS) based mAP computed",Outputs,True,"Test set labels private, evaluation via online server","Manual annotation with quality control, consistency verification across annotators",unknown,"OpenPose: 61.8 AP, HRNet: 75.5 AP, ViTPose: 80.9 AP, Human performance: ~85 AP (estimated)",Multi-person scenarios; Occlusion handling; Scale variation; Multiple runs per sample,17 keypoints may be insufficient for fine-grained pose; Occlusion challenges; Crowded scene difficulties; Annotation noise,"MPII Human Pose, Human3.6M, PoseTrack, CrowdPose"
Chatbot Arena,"A crowdsourced platform for evaluating LLMs through pairwise comparisons, where users chat with two anonymous models and vote for the better response.","UC Berkeley, Stanford, UCSD",https://arxiv.org/abs/2403.04132,https://github.com/lm-sys/FastChat,2023-05-03,Development; Selection,"Conversational ability, Helpfulness, Instruction following, Overall quality",Core Performance; Core Quality Dimensions,Text,Text,User-generated content,No reference (reference-free),Huge (> 10M samples),Continuous (live platform),Dynamic data-driven (adaptive/interactive),Human: Representative sample,"Users submit prompts, receive responses from two anonymous models, vote for better response, Elo ratings computed from pairwise preferences",Outputs,False,,"Large-scale human preferences, Elo rating system with statistical validation, correlates with other benchmarks",unknown,"GPT-4-turbo: ~1250 Elo, Claude 3.5 Sonnet: ~1270 Elo, GPT-4o: ~1280 Elo, Llama 3.1 405B: ~1230 Elo",Large-scale human evaluation; Pairwise comparison; Continuous updates; Multiple model comparisons; Statistical significance testing,User population bias; Prompt distribution may not be representative; Style preferences over correctness; Elo inflation over time; No ground truth,"MT-Bench, AlpacaEval, Arena-Hard, LiveBench"
APPS (Automated Programming Progress Standard),"A benchmark of 10,000 programming problems at varying difficulty levels from introductory to competition-level, requiring code generation and algorithmic reasoning.","UC Berkeley",https://arxiv.org/abs/2105.09938,https://github.com/hendrycks/apps,2021-05-20,Research; Development,"Code generation, Algorithmic reasoning, Problem solving, Programming proficiency",Core Performance,Text; Code,Code,New dataset (released with eval),Existing dataset labels,Medium (1K - 100K samples),"Train (5,000), Test (5,000) across 3 difficulty levels",Fixed data-driven (static test set),Automatic (Execution-based),"Model receives problem description, generates Python solution, solution tested against hidden test cases, pass@k and strict accuracy computed",Outputs,False,,"Problems from coding practice platforms, test cases validate correctness",unknown,"GPT-3: 3.5% (competition), GPT-Neo 2.7B: 3.2% (competition), Codex: 25% (interview level), GPT-4: ~40% (estimated)",Three difficulty levels; Multiple test cases; Pass@k evaluation; Execution-based verification,Very challenging even for modern models; Test case coverage may be incomplete; Python-only; Time and memory constraints not enforced,"HumanEval, MBPP, CodeContests, Codeforces"
AGIEval,"A human-centric benchmark using official admission and qualification exams (SAT, LSAT, GRE, etc.) to evaluate general intelligence and reasoning in foundation models.",Microsoft Research,https://arxiv.org/abs/2304.06364,https://github.com/microsoft/AGIEval,2023-04-13,Research; Development,"General intelligence, Human-level reasoning, Exam performance, Domain knowledge",Core Performance,Text,Text,New dataset (released with eval),Existing dataset labels,Medium (1K - 100K samples),"20 official exams including SAT, LSAT, GRE, GMAT, Chinese Gaokao",Fixed data-driven (static test set),Automatic (Reference-based),"Model takes official human exams, answers multiple choice and generation questions, accuracy compared to human test-taker performance",Outputs,False,,"Official standardized exams with known difficulty and validity, human baseline available",unknown,"GPT-3.5: 42.9%, GPT-4: 56.4%, Claude 2: 51.2%, Human average: varies by exam (50-70%)",Multiple exam types; Cross-cultural exams; Human baseline comparison; Standardized test validation,Exam-specific knowledge may not reflect general intelligence; Cultural bias in exams; Translation issues; Potential training data contamination,"MMLU, BIG-bench, C-Eval, GAOKAO-Bench"
Human3.6M,"A large-scale dataset for 3D human pose estimation with 3.6 million video frames of 11 subjects performing 15 activities, captured with motion capture system.","University of Bonn",https://ieeexplore.ieee.org/document/6682899,http://vision.imar.ro/human3.6m/description.php,2014-06-01,Research; Development,"3D pose estimation, Human motion analysis, Activity recognition, Temporal modeling",Core Performance,Vision (Image); Video,Structured Data,New dataset (released with eval),Programmatically generated,Huge (> 10M samples),"Train (5 subjects), Test (2 subjects), Validation (1 subject)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives RGB video or images, predicts 3D joint positions, Mean Per Joint Position Error (MPJPE) computed",Outputs,False,,"Motion capture ground truth with high precision, multi-camera validation",unknown,"Martinez et al.: 62.9mm MPJPE, VideoPose3D: 46.8mm MPJPE, PoseFormer: 44.3mm MPJPE",Multiple subjects; Multiple activities; Multi-camera validation; Temporal consistency,Limited to indoor laboratory setting; Only 11 subjects; Controlled environment; Mocap suit artifacts,"MPII Human Pose, COCO Keypoints, PoseTrack, 3DPW"
BDD100K (Berkeley DeepDrive),"A diverse driving video dataset with 100K videos and annotations for multiple tasks including object detection, lane marking, drivable area, and instance segmentation.",UC Berkeley,https://arxiv.org/abs/1805.04687,https://github.com/bdd100k/bdd100k,2018-05-30,Research; Development; Deployment,"Autonomous driving perception, Multi-task learning, Object detection, Segmentation, Tracking",Core Performance; Robustness,Vision (Image); Video,Structured Data,New dataset (released with eval),Human annotations,Large (100K - 1M samples),"Train (70K), Val (10K), Test (20K)",Fixed data-driven (static test set),Automatic (Reference-based),"Model performs multiple tasks on driving videos, mAP for detection, IoU for segmentation, MOTA for tracking",Outputs,True,"Test set labels private, evaluation via online server","Crowdsourced annotations with quality control, diverse driving conditions validated",unknown,"Faster R-CNN: 30.1 mAP (detection), Mask R-CNN: 32.4 mAP, Multi-task: varies by task",Geographic diversity; Time of day variations; Weather conditions; Multi-task evaluation,Annotation quality varies; Limited to US driving; Class imbalance; Some tasks have sparse annotations,"nuScenes, Waymo Open Dataset, Argoverse, KITTI, Cityscapes"
ScanNet v2,"An indoor RGB-D video dataset of 1513 scanned scenes with semantic segmentation, instance segmentation, and CAD model alignments for 3D scene understanding.","Princeton University, TU Munich",https://arxiv.org/abs/1702.04405,https://github.com/ScanNet/ScanNet,2018-04-01,Research; Development,"3D scene understanding, Semantic segmentation, Instance segmentation, 3D object detection",Core Performance,Vision (Image); Video; Structured Data,Structured Data,New dataset (released with eval),Human annotations,Medium (1K - 100K samples),"Train (1201), Val (312), Test (100)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives 3D scene data, predicts semantic or instance segmentation, mIoU and mAP computed",Outputs,True,"Test set labels private, evaluation via online benchmark","Manual annotation of 3D reconstructions, multi-view consistency validation",unknown,"PointNet++: 53.5 mIoU, SparseConvNet: 72.5 mIoU, MinkowskiNet: 73.6 mIoU, Mask3D: 76.8 mIoU",Multiple indoor scene types; 3D consistency validation; Multi-task evaluation,Indoor scenes only; Reconstruction quality varies; Annotation effort intensive; Limited scene diversity,"Matterport3D, S3DIS, 2D-3D-S, ARKitScenes, ScanNet++"
HMDB-51,"A video action recognition dataset with 6,766 clips across 51 action categories extracted from movies and YouTube videos.","MIT, Brown University",https://ieeexplore.ieee.org/document/6126543,https://github.com/artix41/hmdb51-pytorch,2011-11-01,Research; Development,"Action recognition, Human motion understanding, Video classification, Temporal reasoning",Core Performance,Video,Structured Data,New dataset (released with eval),Human annotations,Medium (1K - 100K samples),3 train/test splits provided,Fixed data-driven (static test set),Automatic (Reference-based),"Model receives video clip, predicts action category, accuracy averaged across 3 splits",Outputs,False,,"Manual annotation and verification, category definitions validated",unknown,"Two-Stream CNN: 59.4%, I3D: 74.5%, SlowFast: 80.3%, VideoMAE: 83.1%",Three evaluation splits; Multiple runs per sample; Camera variation,Small dataset size; Video quality varies; Some categories overlap; Dataset saturated with modern models,"UCF-101, Kinetics, ActivityNet, Something-Something"
LiveBench,"A continuously updating benchmark with new questions released monthly to prevent test set contamination, covering math, coding, reasoning, and instruction following.","Abacus.AI, Various institutions",https://arxiv.org/abs/2406.19314,https://github.com/LiveBench/LiveBench,2024-06-01,Research; Development; Selection,"Math, Coding, Reasoning, Data analysis, Language, Instruction following",Core Performance; Leakage/Contamination,Text,Text; Code,New dataset (released with eval),Multiple/Mixed sources,Medium (1K - 100K samples),Monthly releases with new questions,Dynamic data-driven (adaptive/interactive),Automatic (Reference-based); Model-based: In the wild,"Model evaluated on fresh questions released monthly, prevents memorization, aggregate scores across categories computed",Outputs,False,,"Monthly question generation with quality review, contamination prevention through continuous updates",unknown,"GPT-4o: 55.4%, Claude 3.5 Sonnet: 57.2%, Gemini 1.5 Pro: 52.1% (scores vary monthly)",Monthly updates prevent contamination; Multiple task categories; Model-based and automatic judging,Limited historical data; Monthly score fluctuations; Judge model biases; Computational cost of continuous evaluation,"MT-Bench, Arena-Hard, MMLU, HumanEval, GPQA"
COPA (Choice of Plausible Alternatives),"A causal reasoning benchmark with 1,000 questions requiring selection of the most plausible cause or effect for a given premise."," Indiana University, University of Southern California",https://aaai.org/papers/02418-2418-choice-of-plausible-alternatives-an-evaluation-of-commonsense-causal-reasoning/,https://github.com/drwiner/COPA,2011-01-01,Research; Development,"Causal reasoning, Commonsense inference, Plausibility judgment, World knowledge",Core Performance,Text,Text,New dataset (released with eval),Expert annotations,Small (< 1K samples),"Dev (500), Test (500)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives premise and question (cause or effect), selects more plausible alternative from 2 choices, accuracy computed",Outputs,False,,Expert annotation with inter-annotator agreement validation,unknown,"BERT-large: 70.6%, RoBERTa-large: 90.6%, GPT-3: 92.0%, Human performance: 100%",Binary choice validation; Human baseline comparison; Causal reasoning focus,Small dataset size; Binary choice limiting; Saturated with modern models; Limited causal reasoning depth,"WinoGrande, CommonsenseQA, PIQA, HellaSwag"
RACE (Reading Comprehension from Examinations),"A reading comprehension dataset from Chinese English exams with 28,000 passages and 100,000 questions designed for middle and high school students.","Carnegie Mellon University",https://arxiv.org/abs/1704.04683,https://github.com/qizhex/RACE_AR_baselines,2017-04-01,Research; Development,"Reading comprehension, Reasoning, Educational assessment, Question answering",Core Performance,Text,Text,New dataset (released with eval),Existing dataset labels,Large (100K - 1M samples),"Train (87,866), Dev (4,887), Test (4,934)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives passage and multiple choice question, selects correct answer from 4 options, accuracy computed for middle and high school levels",Outputs,False,,"Real exam questions with verified answers, difficulty validated by educational use",unknown,"BERT-large: 72.0%, RoBERTa-large: 83.2%, GPT-3: 75.2%, Human (middle school): 85.1%",Two difficulty levels; Multiple choice validation; Educational standard alignment,Multiple choice format; Cultural context (Chinese exams); Some questions require cultural knowledge; Becoming saturated,"SQuAD, DREAM, ReClor, LogiQA"
Argoverse,"A dataset for 3D tracking and motion forecasting with HD maps, containing sensor data from autonomous vehicles in Pittsburgh and Miami.","Argo AI, Carnegie Mellon University",https://arxiv.org/abs/1911.02620,https://github.com/argoverse/argoverse-api,2019-11-01,Research; Development; Deployment,"3D object tracking, Motion forecasting, HD mapping, Sensor fusion, Scene understanding",Core Performance,Vision (Image); Video; Structured Data,Structured Data,New dataset (released with eval),Human annotations; Programmatically generated,Large (100K - 1M samples),"Train, Val, Test for tracking and forecasting tasks",Fixed data-driven (static test set),Automatic (Reference-based),"Model performs 3D tracking or trajectory forecasting with HD map context, metrics include ADE, FDE for forecasting and MOTA for tracking",Outputs,True,"Test set labels private, evaluation via leaderboard","Multi-sensor fusion validation, HD map ground truth verification",unknown,"Tracking: AB3DMOT 41.5 MOTA, Forecasting: various baselines for ADE/FDE metrics",Geographic diversity (2 cities); HD map integration; Multi-task evaluation,Limited to 2 cities; HD map dependency; Sensor-specific challenges; Annotation complexity,"nuScenes, Waymo Open Dataset, KITTI, Lyft Level 5, Argoverse 2"
Matterport3D,"A large-scale RGB-D dataset of 90 building-scale scenes with 10,800 panoramic views and dense semantic annotations for indoor scene understanding.","Princeton University, Stanford University, TU Munich",https://arxiv.org/abs/1709.06158,https://github.com/niessner/Matterport,2017-12-01,Research; Development,"3D scene understanding, Semantic segmentation, Visual navigation, Embodied AI, Room layout estimation",Core Performance,Vision (Image); Video; Structured Data,Structured Data,New dataset (released with eval),Human annotations,Medium (1K - 100K samples),"Train (61 scenes), Val (11 scenes), Test (18 scenes)",Fixed data-driven (static test set),Automatic (Reference-based),"Model performs semantic segmentation or navigation tasks on building-scale 3D scenes, mIoU for segmentation, SPL for navigation",Outputs,False,,"Professional 3D scanning with manual annotation verification, multi-view consistency",unknown,"Segmentation: PointNet++ 47.4 mIoU, Navigation: various agents with SPL metrics",Building-scale scenes; Multi-room navigation; Dense annotations,Limited to residential buildings; Expensive data collection; Annotation effort intensive; Texture variation limited,"ScanNet, Gibson, Habitat, AI2-THOR"
VTAB (Visual Task Adaptation Benchmark),"A diverse benchmark of 19 visual classification tasks across natural, specialized, and structured domains for evaluating few-shot transfer learning.",Google Research,https://arxiv.org/abs/1910.04867,https://github.com/google-research/task_adaptation,2019-10-01,Research; Development,"Transfer learning, Few-shot learning, Domain adaptation, Visual representation learning",Core Performance; Robustness; Meta-Learning,Vision (Image),Structured Data,One or Multiple existing datasets,Existing dataset labels,Medium (1K - 100K samples),"1000 examples per task for training, standard test sets",Composite,Automatic (Reference-based),"Pre-trained model fine-tuned on 1000 examples per task, evaluated on 19 diverse tasks, mean accuracy across tasks computed",Full,False,,"Diverse task selection validated for transfer learning evaluation, task difficulty balanced",unknown,"BiT-L (ResNet152x4): 76.3% mean, ViT-L: 77.6%, CLIP: 73.2%",19 diverse tasks; Natural/Specialized/Structured domain split; Few-shot setting; Transfer learning focus,Limited to 1000 training examples; Task selection bias; Aggregate metric may mask task-specific performance; Requires full model access,"Meta-Dataset, FGVC, CrossTransformers"
OpenBookQA,"A question answering dataset requiring multi-hop reasoning over open book facts and common knowledge, with 6,000 elementary science questions.",Allen Institute for AI,https://arxiv.org/abs/1809.02789,https://github.com/allenai/OpenBookQA,2018-09-01,Research; Development,"Multi-hop reasoning, Science reasoning, Open-book QA, Knowledge integration, Commonsense reasoning",Core Performance,Text,Text,New dataset (released with eval),Crowdsourced annotations,Medium (1K - 100K samples),"Train (4,957), Dev (500), Test (500)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives science question and core facts, selects answer from 4 choices requiring reasoning beyond provided facts, accuracy computed",Outputs,False,,"Crowdsourced with expert review, multi-hop reasoning validated through question design",unknown,"BERT-large: 62.0%, RoBERTa-large: 76.0%, UnifiedQA: 87.2%, Human performance: 91.7%",Multi-hop reasoning required; Core facts provided; Multiple distractors,Small dataset size; Multiple choice format; Core facts may not cover all needed knowledge; Becoming saturated,"ARC, CommonsenseQA, QASC, SciQ"
C-Eval,"A comprehensive Chinese evaluation suite with 13,948 questions across 52 subjects for assessing advanced knowledge and reasoning in Chinese language models.","Shanghai Jiao Tong University, Tsinghua University",https://arxiv.org/abs/2305.08322,https://github.com/SJTU-LIT/ceval,2023-05-01,Research; Development; Selection,"Chinese language understanding, Domain knowledge (Chinese context), Reasoning, Multitask learning",Core Performance,Text,Text,New dataset (released with eval),Expert annotations,Medium (1K - 100K samples),"Dev (1,346), Val (1,346), Test (12,342)",Fixed data-driven (static test set),Automatic (Reference-based),"Model answers multiple choice questions across 52 subjects in Chinese, accuracy computed per subject and overall",Outputs,True,Test set labels private for some splits,"Expert-curated questions from Chinese educational materials, subject matter expert validation",unknown,"GPT-4: 68.7%, ChatGPT: 52.5%, Claude: 54.2%, Best Chinese models: ~70%",52 diverse subjects; Multiple difficulty levels; Chinese-specific knowledge,Chinese language only; Cultural and educational system bias; Translation challenges for evaluation; Multiple choice format,"MMLU, AGIEval, CMMLU, GAOKAO-Bench"
SimpleBench,"A benchmark testing if language models can perform basic tasks that humans find trivial, focusing on instruction following and simple reasoning without tricks.",Independent Researchers,https://drive.google.com/file/d/1mddNFK5UbBFVr3oDftd2Kyc6D8TFctfe/view,https://github.com/simple-bench/SimpleBench,2024-01-01,Research; Development,"Basic instruction following, Simple reasoning, Practical task completion, Reliability on easy tasks",Core Performance; Robustness,Text,Text,New dataset (released with eval),Author-provided,Small (< 1K samples),Test (varies),Fixed data-driven (static test set),Automatic (Reference-based); Model-based: In the wild,"Model performs simple tasks humans find trivial, correctness validated automatically or by judge model, failure rate computed",Outputs,False,,"Tasks validated to be trivial for humans, baseline human performance near 100%",unknown,"GPT-4: ~90%, GPT-3.5: ~75%, Claude 2: ~85% (estimates vary by task type)",Human baseline comparison; Simple task focus; Multiple task types,Small benchmark; Subjective task selection; May not reflect real-world complexity; Limited coverage,"IFEval, MT-Bench, BigBench"
LongBench,A bilingual benchmark for long-context understanding with 21 tasks testing models on contexts from 4K to 32K+ tokens in English and Chinese.,Tsinghua University,https://arxiv.org/abs/2308.14508,https://github.com/THUDM/LongBench,2023-08-28,Research; Development,"Long-context understanding, Multi-document QA, Summarization, Code completion, Synthetic tasks",Core Performance,Text; Code,Text; Code,One or Multiple existing datasets,Multiple/Mixed sources,Medium (1K - 100K samples),Test sets for 21 tasks,Composite,Automatic (Reference-based),"Model evaluated on 21 tasks with long contexts (4K-32K+ tokens), tasks span QA, summarization, code, synthetic challenges, scores aggregated",Outputs,False,,"Diverse task selection covering multiple long-context scenarios, bilingual validation",unknown,"GPT-3.5-Turbo-16K: 44.0 avg, Claude 2: 45.7 avg, GPT-4-32K: 54.0 avg",21 diverse tasks; Bilingual (English/Chinese); Multiple context lengths; Multiple domains,Aggregate metrics may hide task-specific performance; Context length limitations vary by model; Computational cost,"RULER, ZeroSCROLLS, L-Eval, InfiniteBench, Needle-in-Haystack"
VQA v2.0,"An improved version of VQA with balanced pairs to reduce language bias, containing questions that cannot be answered without understanding the image.","Virginia Tech, Georgia Institute of Technology",https://arxiv.org/abs/1612.00837,https://github.com/GT-Vision-Lab/VQA,2017-01-01,Research; Development,"Visual question answering, Visual reasoning, Language grounding, Bias reduction",Core Performance; Robustness,Text + Vision,Text,MS COCO,Crowdsourced annotations,Huge (> 10M samples),"Train, Val, Test",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives image and question, generates answer, accuracy computed with balanced pairs to prevent language-only solutions",Outputs,True,Test-dev and test-std splits with private labels,"Balanced complementary pairs reduce language bias, multiple human answers validate consistency",unknown,"Bottom-Up Attention: 65.3%, LXMERT: 72.4%, OSCAR: 73.6%, BLIP-2: 82.2%",Balanced pairs; Language bias reduction; Multiple human answers; Test-dev validation,Still has residual language bias; Some questions remain ambiguous; Limited reasoning depth; Answer distribution imbalance,"VQA, GQA, OK-VQA, TextVQA, VizWiz"
SQuAD 2.0,"An extension of SQuAD adding 50,000 unanswerable questions requiring models to determine when no answer exists in the passage.",Stanford University,https://arxiv.org/abs/1806.03822,https://github.com/rajpurkar/SQuAD-explorer,2018-06-11,Research; Development,"Reading comprehension, Span extraction, Answerability detection, Robustness",Core Performance; Robustness,Text,Text,Wikipedia,Crowdsourced annotations,Large (100K - 1M samples),"Train (130,319), Dev (11,873)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives passage and question, predicts answer span or indicates no answer exists, F1 and EM computed including no-answer examples",Outputs,False,,"Crowdsourced unanswerable questions with validation, plausible distractors verified",unknown,"BERT-large: 81.9 F1, RoBERTa: 89.8 F1, XLNet: 90.1 F1, Human performance: 89.5 F1",Unanswerable questions; Plausibility checks; Multiple human answers,Saturated with modern models; Answerability detection can be gamed; Limited reasoning complexity,"SQuAD, NaturalQuestions, DROP, NewsQA"
TextVQA,"A VQA benchmark requiring reading and reasoning about text in images, with 28,408 images containing text and 45,336 questions.",Facebook AI Research,https://arxiv.org/abs/1904.08920,https://github.com/facebookresearch/mmf,2019-04-01,Research; Development,"Text reading in images, Visual question answering, OCR reasoning, Scene text understanding",Core Performance,Text + Vision,Text,New dataset (released with eval),Crowdsourced annotations,Medium (1K - 100K samples),"Train (34,602), Val (5,000), Test (5,734)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives image containing text and question, generates answer requiring reading scene text, accuracy computed with multiple reference answers",Outputs,True,"Test set labels private, evaluation via leaderboard",Manual verification of text presence and question answering requiring text reading,unknown,"LoRRA: 26.6%, M4C: 40.5%, TAP: 54.7%, BLIP-2: 62.3%, Human performance: 80.8%",Multiple answer annotations; OCR token accuracy; Human baseline comparison,OCR quality dependency; Text reading vs reasoning ambiguity; Limited to horizontal text; Scene complexity varies,"VQA v2, ST-VQA, OCR-VQA, DocVQA"
OK-VQA (Outside Knowledge VQA),"A VQA dataset requiring external commonsense and world knowledge beyond the image content, with 14,055 questions.","Carnegie Mellon University, University of Washington",https://arxiv.org/abs/1906.00067,https://github.com/allenai/ok-vqa,2019-06-01,Research; Development,"Knowledge-based VQA, Commonsense reasoning, External knowledge integration, Visual grounding",Core Performance,Text + Vision,Text,MS COCO,Crowdsourced annotations,Medium (1K - 100K samples),"Train (9,009), Val (5,046)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives image and question requiring external knowledge, generates answer, accuracy computed against multiple references",Outputs,False,,"Questions filtered to require outside knowledge, human validation of knowledge requirements",unknown,"KRISP: 38.4%, REVIVE: 47.5%, Prophet: 61.1%, Flamingo: 50.6%",Knowledge requirement validation; Multiple answer annotations; External knowledge integration testing,Knowledge source ambiguity; Difficult to validate knowledge requirements; Answer diversity; Outdated knowledge,"VQA v2, GQA, A-OKVQA, FVQA"
NLVR2 (Natural Language for Visual Reasoning),A visual reasoning benchmark requiring understanding relationships between two images based on natural language descriptions.,Cornell University,https://arxiv.org/abs/1811.00491,https://github.com/lil-lab/nlvr,2019-01-01,Research; Development,"Visual reasoning, Multi-image understanding, Language grounding, Compositional reasoning",Core Performance,Text + Vision,Text,New dataset (released with eval),Crowdsourced annotations,Large (100K - 1M samples),"Train (86,373), Dev (6,982), Test (6,967)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives natural language statement and two images, determines if statement is true about the pair, accuracy computed",Outputs,True,Test set labels private for public test,"Crowdsourced descriptions with validation, compositional reasoning verified",unknown,"MaxEnt: 56.6%, LXMERT: 76.2%, UNITER: 79.1%, ALBEF: 82.6%, Human performance: 95.4%",Compositional structure; Two-image reasoning; Human baseline comparison,Binary classification limiting; Synthetic image pairs; Description complexity varies; Approaching saturation,"CLEVR, GQA, VQA v2, NLVR"
MS MARCO,A large-scale information retrieval and question answering dataset with real Bing queries and passages from web documents.,Microsoft,https://arxiv.org/abs/1611.09268,https://github.com/microsoft/MSMARCO-Passage-Ranking,2016-11-01,Research; Development; Deployment,"Information retrieval, Passage ranking, Question answering, Reading comprehension",Core Performance,Text,Text,New dataset (released with eval),Human annotations; Crowdsourced annotations,Huge (> 10M samples),"Train (8.8M passages), Dev, Eval",Fixed data-driven (static test set),Automatic (Reference-based),"Model ranks passages for queries or generates answers from passages, MRR@10 for ranking, ROUGE-L and BLEU for QA",Outputs,True,Evaluation set for annual competitions,"Real search queries with human-labeled relevant passages, answer generation validated",unknown,"BM25: 16.7 MRR@10, BERT: 34.7, ANCE: 38.1, ColBERT: 39.7",Large-scale real queries; Multiple evaluation metrics; Passage ranking and QA tasks,Sparse annotations; Single relevant passage assumption; Query ambiguity; Web document quality varies,"NaturalQuestions, TriviaQA, SQuAD, TREC-DL"
HELM (Holistic Evaluation of Language Models),"A comprehensive framework evaluating LLMs across 42 scenarios and 7 metrics categories including accuracy, calibration, robustness, fairness, bias, toxicity, and efficiency.",Stanford University,https://arxiv.org/abs/2211.09110,https://github.com/stanford-crfm/helm,2022-11-16,Research; Development; Selection,"Holistic evaluation, Multi-scenario performance, Fairness, Robustness, Calibration, Efficiency, Bias detection",Core Performance; Core Quality Dimensions; Fairness; Robustness; Calibration; Efficiency; Safety,Text,Text,One or Multiple existing datasets,Multiple/Mixed sources,Large (100K - 1M samples),Varies by scenario,Composite,Automatic (Reference-based); Model-based: In the wild,"Models evaluated on 42 scenarios across 7 metric categories, standardized prompting, comprehensive reporting of accuracy, calibration, robustness, fairness, bias, toxicity, efficiency",Outputs,False,,"Comprehensive scenario coverage validated, multiple metric categories ensure holistic assessment",unknown,"Performance varies by scenario and model, comparative analysis across models provided",42 scenarios; 7 metric categories; Perturbation testing; Demographic analysis; Calibration testing,Computational cost; Scenario selection bias; Aggregate metrics complexity; Continuous updates needed,"BIG-bench, MMLU, SuperGLUE, Chatbot Arena"
MMLU-Pro,"An enhanced version of MMLU with more challenging questions, 10 answer choices instead of 4, and focus on reasoning over memorization.","University of Waterloo, University of Toronto, Carnegie Mellon University",https://arxiv.org/abs/2406.01574,https://github.com/TIGER-AI-Lab/MMLU-Pro,2024-06-03,Research; Development; Selection,"Advanced knowledge, Reasoning, Domain expertise, Distractor resistance",Core Performance; Robustness,Text,Text,One or Multiple existing datasets,Expert annotations,Medium (1K - 100K samples),"Test (12,000 questions)",Fixed data-driven (static test set),Automatic (Reference-based),"Model receives multiple choice question with 10 options, selects answer, accuracy computed with chain-of-thought reasoning encouraged",Outputs,False,,"Questions filtered for difficulty and reasoning requirements, expert review of distractors",unknown,"GPT-4o: 72.6%, Claude 3.5 Sonnet: 78.0%, Random baseline: 10%",10-way multiple choice; Reasoning-focused questions; Distractor quality validation,Still multiple choice format; Limited to 14 subjects; Potential for future saturation; Question source overlap with MMLU,"MMLU, GPQA, AGIEval, JEE-Advanced"
Arena-Hard,"A benchmark of 500 challenging user queries designed to differentiate top-tier LLMs, evaluated using GPT-4-Turbo as judge with baseline comparisons.","UC Berkeley",https://arxiv.org/abs/2406.11939,https://github.com/lm-sys/arena-hard-auto,2024-04-01,Development; Selection,"Challenging queries, Instruction following, Reasoning, Multi-step tasks, Real-world complexity",Core Performance; Core Quality Dimensions,Text,Text,User-generated content,No reference (reference-free),Small (< 1K samples),Test (500 queries),Fixed data-driven (static test set),Model-based: In the wild,"Model generates response to challenging query, GPT-4-Turbo compares against GPT-4-0314 baseline, win rate computed",Outputs,False,,"Queries selected from Chatbot Arena for discriminative power, correlation with human preferences validated",unknown,"GPT-4-0314: 50.0% (baseline), Claude 3.5 Sonnet: 79.2%, GPT-4o: 78.0%, Gemini 1.5 Pro: 72.0%",Challenging query selection; Agreement with Chatbot Arena; GPT-4-Turbo judge calibration,Small dataset (500 queries); GPT-4 judge bias; Static benchmark (will saturate); Model-based evaluation limits,"MT-Bench, Chatbot Arena, AlpacaEval, LiveBench"
